ID,symbol,name,country,sector,industry,ev,employees,# of shares,revenue 2023,revenue 2022,revenue 2021,revenue 2020,ebitda 2023,ebitda 2022,ebitda 2021,ebitda 2020,stock price 2018-10-30,stock price 2018-11-30,stock price 2018-12-30,stock price 2019-01-30,stock price 2019-02-28,stock price 2019-03-30,stock price 2019-04-30,stock price 2019-05-30,stock price 2019-06-30,stock price 2019-07-30,stock price 2019-08-30,stock price 2019-09-30,stock price 2019-10-30,stock price 2019-11-30,stock price 2019-12-30,stock price 2020-01-30,stock price 2020-02-28,stock price 2020-03-30,stock price 2020-04-30,stock price 2020-05-30,stock price 2020-06-30,stock price 2020-07-30,stock price 2020-08-30,stock price 2020-09-30,stock price 2020-10-30,stock price 2020-11-30,stock price 2020-12-30,stock price 2021-01-30,stock price 2021-02-28,stock price 2021-03-30,stock price 2021-04-30,stock price 2021-05-30,stock price 2021-06-30,stock price 2021-07-30,stock price 2021-08-30,stock price 2021-09-30,stock price 2021-10-30,stock price 2021-11-30,stock price 2021-12-30,stock price 2022-01-30,stock price 2022-02-28,stock price 2022-03-30,stock price 2022-04-30,stock price 2022-05-30,stock price 2022-06-30,stock price 2022-07-30,stock price 2022-08-30,stock price 2022-09-30,stock price 2022-10-30,stock price 2022-11-30,stock price 2022-12-30,stock price 2023-01-30,stock price 2023-02-28,stock price 2023-03-30,stock price 2023-04-30,stock price 2023-05-30,stock price 2023-06-30,stock price 2023-07-30,stock price 2023-08-30,stock price 2023-09-30,profitability 2023,profitability 2022,profitability 2021
11,CCC.L,COMPUTACENTER PLC ORD 7 5/9P,United Kingdom,Telecom,Information Technology Services,2825319936,20097,114141000,"6470500000,0","6725800000,0","5441258000,0","5052779000,0","349700000,0","346200000,0","296814000,0","221269000,0","1168,496242","1039,774478","925,861386","964,576291","1023,834137","1064,007013","1028,367291","1156,824387","1223,572632","1281,062686","1338,907942","1252,201794","1217,067712","1365,327015","1584,881189","1688,258439","1763,523438","1322,102556","1389,184332","1456,498118","1594,408714","1728,363685","1963,734454","2213,429188","2350,484508","2218,345773","2281,719099","2343,865039","2212,447107","2189,489555","2522,126941","2590,190571","2608,294533","2622,238215","2795,203532","2877,033569","2692,857143","2762,636364","2808,476190","2714,200000","2726,300000","2760,000000","2837,894737","2493,333333","2395,900000","2434,380952","2543,818182","2149,095238","1888,190476","1981,636364","1954,650000","2015,000000","2264,800000","2123,304348","2244,222222","2378,700000","2283,363636","2211,904762","2108,545455","2171,000000","35500008,07926776","30300008,160947245","27501009,51882302"
12,GNS.L,GENUS PLC ORD 10P,United Kingdom,Pharma,Biotechnology,1623839488,3500,66029400,"689700000,0","593400000,0","574300000,0","551400000,0","97300000,0","93100000,0","95400000,0","94000000,0","2188,061194","2165,800049","2183,426372","2181,506381","2211,389417","2266,084659","2229,719727","2532,607271","2575,250464","2570,672130","2524,692325","2785,793597","2848,773363","3015,453776","3110,135657","3067,879039","3135,811646","3133,327992","3405,171289","3257,140227","3337,975997","3421,930176","3400,437024","3728,110440","3966,799805","4177,653785","4075,196661","4470,107861","5235,109692","4977,692807","5115,816431","4867,388338","5083,298029","5191,211337","5812,887812","5656,985130","5376,472052","5337,554932","4899,670178","4135,979175","3426,113953","2996,596542","2683,473684","2547,523810","2510,900000","2555,238095","2672,272727","2643,047619","2548,190476","3008,909091","2993,500000","3031,238095","2818,300000","2946,086957","2786,777778","2567,400000","2364,454545","2379,047619","2336,909091","2301,000000","35200016,68899782","50900017,44188494","33800017,02137828"
13,0Q1S.IL,VERIZON COMMUNICATIONS INC VERI,United States,Telecom,Telecom Services,308595851264,117100,4204039936,"136835000000,0","133613000000,0","128292000000,0","131868000000,0","48983000000,0","49111000000,0","44934000000,0","44145000000,0","45,314346","45,450676","45,450676","45,859198","45,979351","45,979351","51,359115","50,984051","50,850909","50,891323","50,500033","53,481440","54,306552","53,973366","55,221521","54,630328","53,195746","48,794499","51,477364","50,156408","50,802984","51,797300","54,862597","55,932869","54,900329","56,684010","56,834569","54,349915","53,157594","53,816600","55,665891","55,756409","54,715628","54,702840","54,198230","53,355738","52,289295","51,400019","50,977145","52,955770","53,337500","52,513043","52,098684","49,076072","50,481250","48,899881","44,499432","40,777205","37,094881","38,230682","37,770500","40,427619","40,034000","37,553914","38,425695","36,580000","35,713636","34,747619","33,268182","34,799999","26740000006,30006","67882000006,28364","20318000006,86776"
14,0YZ2.IL,GEELY AUTOMOBILE HOLDINGS LTD G,Hong Kong,Automotive,Auto Manufacturers,72007122944,53000,10063399936,"147964647000,0","101611056000,0"," 92113878000,0"," 97401248000,0","13550961000,0","11823326000,0","12099166000,0","13497060000,0","13,522844","14,429978","14,413247","11,580335","13,396465","13,785990","14,213757","14,213757","14,400524","14,553333","14,553333","14,553333","14,553333","14,553333","14,553333","14,553333","14,553333","14,553333","14,553333","14,579298","14,800000","14,800000","14,800000","14,800000","14,800000","14,800000","14,800000","14,800000","14,800000","14,800000","14,800000","14,810526","15,000000","15,000000","15,000000","16,563627","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","15,000000","10336988005,313803","6100193006,09026","7042250005,951412"
15,0G8C.IL,TELENOR ASA TELENOR ORD SHS,Norway,Telecom,Telecom Services,268036833280,14000,1384679936," 98954000000,0","110240000000,0","122811000000,0","113665000000,0","41589000000,0","54446000000,0","58674000000,0","50154000000,0","128,869554","136,805357","141,515991","141,753725","138,393883","147,061101","145,929407","152,129028","161,439342","156,215921","159,373100","158,700814","157,920682","148,079328","143,232198","144,530408","142,831445","132,350559","138,435437","133,537206","134,806957","132,923638","133,599062","136,493912","142,902718","143,060302","139,835369","136,820199","133,672613","139,545785","142,484212","139,741244","140,574326","146,808293","151,987300","145,101111","138,812293","137,040909","136,164286","143,058750","136,880000","129,655435","130,585526","128,519048","129,062500","126,876190","113,717046","105,133810","95,061905","96,968181","91,647000","101,596428","114,777499","121,160870","127,397221","122,181250","110,417046","108,028571","108,842045","114,199997","19298000006,444897","19447000004,922985","19000000004,568237"
16,HTWS.L,HELIOS TOWERS PLC ORD 1P,United Kingdom,Telecom,Telecom Services,2465822720,641,1050499968,"560700000,0","449100000,0","414000000,0","387800000,0","157000000,0","169900000,0","224900000,0","165300000,0",,,,,,,,,,,,,"121,095384","119,490476","139,655002","149,290910","139,665001","115,395454","127,600000","135,705263","169,627274","151,243478","158,810001","159,263637","158,045455","166,295238","145,619048","153,459998","168,389999","161,782608","170,940000","166,694737","170,372726","162,309092","167,399998","183,390909","164,600000","157,563636","162,266668","155,170001","150,530001","127,973912","116,063158","112,680952","125,145000","130,995238","135,663636","117,842858","109,042857","118,654546","108,695000","115,171428","107,770000","105,400000","101,497222","95,005000","91,306818","91,116666","85,838637","89,199997","247800015,70587718","170500014,5133768","123700010,96408501"
17,AML.L,ASTON MARTIN LAGONDA GLOBAL HOL,United Kingdom,Automotive,Auto Manufacturers,2553392896,2473,795310976,"1381500000,0","1095300000,0"," 611800000,0"," 997300000,0","-7000000,0","159700000,0",0,"128700000,0","9826,047340","9587,785556","7922,380808","7971,376753","7763,566089","7020,561942","6238,133911","5616,443429","6572,292700","5759,311141","3064,081601","3577,054932","2959,159020","3096,031576","3532,471667","2905,806097","2729,996179","1451,516754","1312,100000","866,873686","1338,090909","1022,913038","1257,300000","1105,581818","1019,418180","1332,571429","1658,514282","1780,644995","2127,200000","1965,021739","1974,450000","1940,973684","1990,772727","1874,136364","1989,785714","1926,704545","1744,071429","1635,636364","1316,785714","1308,375000","1119,000000","896,765222","866,810528","720,009521","560,685004","459,123810","487,250003","187,144372","100,618571","127,753636","154,450000","163,369047","187,997500","238,973912","229,633333","237,679998","304,018182","346,399998","347,636361","346,299988","286899635,2295863","184700015,9886844","260699979,86283204"
18,0MGB.IL,GENMAB A/S GENMAB ORD SHS,Denmark,Pharma,Biotechnology,125569359872,2015,65312700,"14595000000,0"," 8482000000,0","10111000000,0"," 5366000000,0","7418000000,0","4244000000,0","6173000000,0","3005000000,0","918,084780","964,172732","1043,034212","1024,822729","1019,127499","1150,333333","1149,600000","1137,678571","1180,437500","1214,326087","1315,071429","1393,559524","1380,945652","1515,892857","1524,325000","1511,897727","1636,700000","1367,727273","1534,112500","1921,473684","2046,500000","2268,391304","2311,550000","2301,750000","2295,272727","2294,500000","2397,095238","2579,025000","2429,700000","2040,923913","2191,600000","2321,605263","2608,022727","2724,068182","2939,785714","2832,954545","2841,404762","2775,181818","2533,809524","2306,450000","2193,650000","2313,586957","2543,026316","2156,619048","2107,225000","2510,071429","2632,977273","2609,595238","2771,904762","3077,568182","3125,100000","2795,857143","2705,600000","2539,717391","2732,694444","2808,425000","2642,363636","2653,285714","2574,500000","2664,500000","317000016,927657","252000029,58750233","307000020,3417074"
19,GAMA.L,GAMMA COMMUNICATIONS PLC ORD 0.,United Kingdom,Telecom,Telecom Services,907685888,1800,97425296,"484600000,0","447700000,0","393800000,0","328900000,0","93400000,0","95500000,0","99000000,0","70800000,0","797,847927","756,379211","805,035192","772,014967","815,208728","905,709917","1041,585010","1092,057559","1107,430658","1033,461009","1046,509083","1119,749820","1103,440515","1182,130104","1255,650983","1347,356329","1303,698834","1086,621074","1203,414334","1236,871017","1245,552496","1454,285639","1641,452997","1566,569425","1684,985246","1613,329735","1566,957473","1605,806079","1596,366003","1600,491954","1779,602753","1854,333618","1980,267811","1998,656439","2197,294073","1970,103499","1824,000000","1785,545455","1647,333333","1579,800000","1537,000000","1417,913043","1288,526316","1161,428571","1141,000000","1097,428571","1130,000000","1118,973476","1059,809524","1113,363636","1058,700000","1143,428571","1171,700000","1136,000000","1122,777778","1158,400000","1169,181818","1115,142857","1076,636364","1069,000000","20700009,718264326","16800009,504564274","15400009,168544324"
20,0H6X.IL,TELIA COMPANY AB TELIA COMPANY ,Sweden,Telecom,Telecom Services,206489698304,19044,3932110080,"90827000000,0","88343000000,0","89190000000,0","85965000000,0","29477000000,0","35486000000,0","10221000000,0","31606000000,0","34,287091","34,739645","35,486153","34,894349","33,265583","34,859527","35,330445","34,807266","35,338904","37,009854","35,874786","37,391702","37,632865","37,431783","36,008859","36,111301","36,214408","31,593040","31,468356","29,186113","30,608045","31,948797","30,917212","31,846937","33,786229","33,435205","32,731300","33,524099","33,479856","34,470085","35,181300","35,608350","35,698468","37,406955","36,889853","35,752196","34,884841","34,901136","34,971071","35,945625","36,872000","36,184674","39,055789","40,484286","39,289500","38,985476","37,781591","35,076905","31,036429","29,225455","27,615750","27,503333","26,633750","26,755218","26,918611","26,780250","24,174545","24,099524","21,525909","22,294999","15908000007,005112","15647000005,818907","13710000020,202496"
